Date,Open,High,Low,Close,Adj Close,Volume
2012-05-18,41.68394755021293,44.60826810447062,37.669204177108526,37.89720153808594,573576400,37.89720153808594
2012-05-21,36.212001928669224,36.340871326058476,32.712732099058826,33.7337646484375,168192700,33.7337646484375
2012-05-22,32.32612802343342,33.29759659357449,30.670665427450363,30.73014259338379,101786600,30.73014259338379
2012-05-23,31.096920616473653,32.21708297729492,31.087007440975867,31.721435546875,73600000,31.721435546875
2012-05-24,32.6631681608809,32.92090317457285,31.493439860261315,32.742469787597656,50237200,32.742469787597656
2012-05-25,32.61360290482297,32.663166892282185,30.839184170758223,31.632219314575195,37149800,31.632219314575195
2012-05-29,31.205961267242266,31.414134167882406,28.40059693148421,28.588943481445312,78063400,28.588943481445312
2012-05-30,28.45016163597602,29.29276070692466,27.617473849213663,27.94460105895996,57267900,27.94460105895996
2012-05-31,28.301464580379758,29.411715541101785,26.596438277542227,29.34232521057129,111639200,29.34232521057129
2012-06-01,28.638510065276986,28.89624697524988,27.15156766287224,27.478694915771484,41855500,27.478694915771484
2012-06-04,26.963222124956083,27.409303696975865,26.209837771589473,26.66583251953125,35230300,26.66583251953125
2012-06-05,26.46757685541412,27.51834901009024,25.525845863379725,25.64480209350586,42473400,25.64480209350586
2012-06-06,25.84305641830239,26.933481130663242,25.2978450074944,26.576614379882812,61489200,26.576614379882812
2012-06-07,26.764960924725553,27.111914500046897,25.922359924872257,26.08096694946289,26159500,26.08096694946289
2012-06-08,26.318878549708657,27.518346348725334,26.20983739761256,26.864091873168945,38034000,26.864091873168945
2012-06-11,26.943393931183895,27.825645729733164,26.606353535857124,26.774873733520508,28219600,26.774873733520508
2012-06-12,27.240783466520206,27.528259895798563,26.725309663448996,27.161479949951172,15816800,27.161479949951172
2012-06-13,27.41921431068136,27.855384556765756,26.864089746138824,27.032609939575195,17102800,27.032609939575195
2012-06-14,27.409303575813585,28.073471233691304,27.14165349933787,28.043733596801758,16855000,28.043733596801758
2012-06-15,28.26181424698854,29.837973089653158,28.103207234333144,29.748756408691406,43563800,29.748756408691406
2012-06-18,29.699191739270383,31.800739468994816,29.153980347512388,31.13656997680664,42978900,31.13656997680664
2012-06-19,31.265441269589193,31.89986938464277,30.432753423208908,31.632219314575195,30849000,31.632219314575195
2012-06-20,31.642132807657397,31.652045983397677,30.878835292360403,31.324918746948242,15553600,31.324918746948242
2012-06-21,31.394305967264355,32.21708056451289,31.23569895266787,31.56282615661621,21875300,31.56282615661621
2012-06-22,32.127866656129584,33.15881423075548,31.780914963462138,32.76229476928711,74834000,32.76229476928711
2012-06-25,32.5739513866408,32.73255842117111,31.27535369164953,31.780916213989258,24352900,31.780916213989258
2012-06-26,32.40542461244311,33.148895688623426,32.21707996781363,32.81185531616211,24858700,32.81185531616211
2012-06-27,32.17743165438153,32.61360383199823,31.622307037927957,31.949434280395508,28568000,31.949434280395508
2012-06-28,31.681780984211173,31.909778335035266,30.631009022841404,31.087005615234375,17713300,31.087005615234375
2012-06-29,31.64213086246261,31.71152119763386,30.492229017709477,30.829269409179688,19526900,30.829269409179688
2012-07-02,30.977963010578375,31.453784068642104,30.284055882843496,30.50214195251465,14122000,30.50214195251465
2012-07-03,30.640925515575756,31.166312498522267,30.531882470441857,30.928401947021484,8763600,30.928401947021484
2012-07-05,31.047352986639076,31.35465384674647,30.74996530146996,31.196046829223633,10032100,31.196046829223633
2012-07-06,31.16631042108823,31.622305141716847,30.98787704667012,31.453784942626953,10945600,31.453784942626953
2012-07-09,31.82056327607436,32.59377583300649,31.711522127925623,31.88995361328125,17785200,31.88995361328125
