Date,Open,High,Low,Close,Adj Close,Volume
2004-08-16,2.468896622228008,2.6930730354388173,2.3691540780448865,2.674062728881836,1356284704,2.674062728881836
2004-08-23,2.734303031787097,2.801703841376892,2.5570360570942983,2.6207334995269775,1125298143,2.6207334995269775
2004-08-30,2.5992540111289717,2.604439434706994,2.44272611214286,2.4691431522369385,794237881,2.4691431522369385
2004-09-06,2.4938328536200953,2.630856758849117,2.4592686375137496,2.600489377975464,474118476,2.600489377975464
2004-09-13,2.6325845902228697,2.900707483291626,2.628387518676178,2.900707483291626,967075300,2.900707483291626
2004-09-20,2.887374745240584,3.06390035146174,2.8829309406353647,2.9584789276123047,866054062,2.9584789276123047
2004-09-27,2.951812797899791,3.333504509913303,2.908360974796506,3.273263692855835,1675817921,3.273263692855835
2004-10-04,3.3391833819713153,3.453492657225678,3.2648695318884964,3.400411605834961,1337566807,3.400411605834961
2004-10-11,3.3823882232278044,3.5922450772108796,3.293507879055916,3.557926654815674,1317046178,3.557926654815674
2004-10-18,3.535460370312725,4.448212029120893,3.4465800097168593,4.257119655609131,3169567955,4.257119655609131
2004-10-25,4.355133798100754,4.936558725938548,4.260080854578609,4.706705093383789,4193142236,4.706705093383789
2004-11-01,4.778549474345275,4.977295272091947,4.161325545829791,4.1810760498046875,2878854358,4.1810760498046875
2004-11-08,4.2200858316212955,4.685966155948575,4.0803457459465475,4.493391990661621,2594954205,4.493391990661621
2004-11-15,4.45512472914743,4.6494269992262165,4.091703091205172,4.182311058044434,3065475247,4.182311058044434
2004-11-22,4.060595439391884,4.444755481063209,3.982578447791687,4.428954601287842,1868682124,4.428954601287842
2004-11-29,4.452901967060251,4.518081232531423,4.382537987290237,4.453889846801758,1540183428,4.453889846801758
2004-12-06,4.422534651459529,4.461296880836138,4.159350235911913,4.237861156463623,1310409395,4.237861156463623
2004-12-13,4.250699940801263,4.461049336417894,4.183545854655713,4.44598913192749,1739977509,4.44598913192749
2004-12-20,4.493392610960763,4.656339858645707,4.490182710227369,4.639057159423828,918325255,4.639057159423828
2004-12-27,4.6699193131603804,4.93483184629884,4.66868422689358,4.759787082672119,1064005261,4.759787082672119
2005-01-03,4.873602611355864,5.027662250696283,4.634613657898561,4.785957336425781,2324146943,4.785957336425781
