Date,Open,High,Low,Close,Adj Close,Volume
2012-05-01,41.68395194016774,44.60827280240094,26.596443464112802,29.342330932617188,1251513200,29.342330932617188
2012-06-01,28.63850863643361,33.15881467555163,25.29784593118845,30.82927131652832,667910500,30.82927131652832
2012-07-01,30.97796559778997,32.59377734218788,21.421883375222112,21.521011352539062,520189700,21.521011352539062
2012-08-01,21.31283913921755,22.254569997015807,17.873046712300358,17.90278434753418,1151944900,17.90278434753418
2012-09-01,17.922611389349573,23.16656222222467,17.39722442126773,21.471446990966797,1058643700,21.471446990966797
2012-10-01,21.887790537070924,24.038900469111976,18.636342700168232,20.92623519897461,1100938300,20.92623519897461
2012-11-01,20.89649559087411,27.756256103515625,18.705734855975606,27.756256103515625,1527490200,27.756256103515625
2012-12-01,27.75625747543429,28.628596164163,24.931066604250017,26.38827133178711,1191832200,26.38827133178711
2013-01-01,27.201132723693174,32.22699569897939,27.181306371813587,30.710315704345703,1675851700,30.710315704345703
2013-02-01,30.740053861532942,30.74996703703073,26.110706785781076,27.012784957885742,957639800,27.012784957885742
2013-03-01,26.814529504667927,28.430341444275424,24.504812186284767,25.35732650756836,727180500,25.35732650756836
2013-04-01,25.406888708342777,27.855388442199114,24.931067586650276,27.528261184692383,738509200,27.528261184692383
2013-05-01,27.607565310444414,28.81694449395572,23.057521243951918,24.138032913208008,982094800,24.138032913208008
2013-06-01,24.05872731462244,24.970718684524023,22.472655120348612,24.663415908813477,788331500,24.663415908813477
2013-07-01,24.752628366241208,37.976501913482466,23.939767002021636,36.479644775390625,1438017100,36.479644775390625
2013-08-01,36.97530024816192,41.89212220875769,35.70644394387658,40.93056869506836,1344994100,40.93056869506836
2013-09-01,41.47577668062627,51.15081275402266,41.079257227979056,49.79273986816406,1583083800,49.79273986816406
2013-10-01,49.53500623353399,54.3526999427149,44.86600448706851,49.77291488647461,2032635000,49.77291488647461
2013-11-01,50.40734140257135,51.63654867537093,43.17088978363388,46.60076904296875,1357311900,46.60076904296875
2013-12-01,46.49173147950267,58.07005600405748,45.857299578556066,54.17426681518555,1517533200,54.17426681518555
2014-01-01,54.35270150631797,62.81835712888152,51.39863935898644,62.02532196044922,1294714800,62.02532196044922
2014-02-01,62.48131287792478,70.81810615562586,60.17159785516659,67.86404418945312,1110774100,67.86404418945312
2014-03-01,66.37710587388351,71.958093461538,57.475278088454694,59.715606689453125,1255440000,59.715606689453125
2014-04-01,59.933693929927806,63.35366238700861,54.18418376896791,59.259613037109375,1883965100,59.259613037109375
2014-05-01,59.90394728003446,63.74026102046287,55.77024584491517,62.74896240234375,1120155500,62.74896240234375
2014-06-01,62.67957998508426,67.40805740696963,61.252116601331956,66.70423889160156,863389800,66.70423889160156
2014-07-01,66.9917060390901,76.0719626966281,61.66845011010288,72.01757049560547,1028365000,72.01757049560547
2014-08-01,71.59131325894234,75.32849141038159,70.92714754328001,74.1686782836914,590763600,74.1686782836914
2014-09-01,74.35702703025187,79.01610968815977,72.43391264728716,78.35194396972656,720995800,78.35194396972656
