Date,GOOG,MSFT,AMZN
2026-01-02,314.9084777832031,470.84320068359375,226.5
2026-01-05,316.9058837890625,470.75360107421875,233.05999755859375
2026-01-06,314.1394958496094,476.3885192871094,240.92999267578125
2026-01-07,322.00921630859375,481.3265075683594,241.55999755859375
2026-01-08,325.5845642089844,475.9902648925781,246.2899932861328
2026-01-09,328.7104797363281,477.15509033203125,247.3800048828125
2026-01-12,332.2957763671875,475.06439208984375,246.47000122070312
2026-01-13,335.9909362792969,468.5832824707031,242.60000610351562
2026-01-14,335.8711242675781,457.3433532714844,236.64999389648438
2026-01-15,332.7252197265625,454.6354064941406,238.17999267578125
2026-01-16,329.90887451171875,457.8211975097656,239.1199951171875
2026-01-20,321.7395935058594,452.5048522949219,231.0
2026-01-21,327.9514465332031,442.1409912109375,231.30999755859375
2026-01-22,330.4082336425781,449.1398620605469,234.33999633789062
2026-01-23,328.0013732910156,463.8841857910156,239.16000366210938
2026-01-26,333.1546325683594,468.1949768066406,238.4199981689453
2026-01-27,334.56280517578125,478.4493408203125,244.67999267578125
2026-01-28,335.84112548828125,479.4946594238281,243.00999450683594
2026-01-29,338.218017578125,431.57806396484375,241.72999572753906
2026-01-30,338.08819580078125,428.3822937011719,239.3000030517578
2026-02-02,344.44989013671875,421.49298095703125,242.9600067138672
2026-02-03,340.25537109375,409.3868713378906,238.6199951171875
2026-02-04,332.90496826171875,412.35369873046875,232.99000549316406
2026-02-05,330.8975830078125,391.9246520996094,222.69000244140625
2026-02-06,322.6783447265625,399.3615417480469,210.32000732421875
2026-02-09,323.97662353515625,411.76629638671875,208.72000122070312
2026-02-10,318.21417236328125,411.437744140625,206.9600067138672
2026-02-11,310.9236755371094,402.5771789550781,204.0800018310547
2026-02-12,308.9662780761719,400.05841064453125,199.60000610351562
2026-02-13,305.6206359863281,399.5407409667969,198.7899932861328
2026-02-17,302.4248352050781,395.1004943847656,201.14999389648438
2026-02-18,303.5433654785156,397.8283386230469,204.7899932861328
2026-02-19,303.1638488769531,397.5988464355469,204.86000061035156
2026-02-20,314.4890441894531,396.37152099609375,210.11000061035156
2026-02-23,311.2832336425781,383.6390686035156,205.27000427246094
2026-02-24,310.5142517089844,388.1593017578125,208.55999755859375
2026-02-25,312.6214599609375,399.7342224121094,210.63999938964844
2026-02-26,306.7491455078125,400.851806640625,207.9199981689453
2026-02-27,311.0235595703125,391.8912048339844,210.0
2026-03-02,305.9601745605469,397.6886291503906,208.38999938964844
2026-03-03,303.1638488769531,403.0570068359375,208.72999572753906
2026-03-04,303.0539855957031,404.32427978515625,216.82000732421875
2026-03-05,300.5173034667969,409.79241943359375,218.94000244140625
2026-03-06,297.91070556640625,408.0761413574219,213.2100067138672
2026-03-09,305.8259582519531,408.5251770019531,213.49000549316406
2026-03-10,306.7453918457031,404.8830871582031,214.3300018310547
2026-03-11,308.2344970703125,404.0049743652344,212.64999389648438
2026-03-12,303.0276184082031,400.9914855957031,209.52999877929688
2026-03-13,301.2786865234375,394.69512939453125,207.6699981689453
2026-03-16,304.2369079589844,399.08563232421875,211.74000549316406
2026-03-17,309.2239074707031,398.5467834472656,215.1999969482422
2026-03-18,306.1157531738281,390.9432678222656,209.8699951171875
2026-03-19,305.5461120605469,388.1792297363281,208.75999450683594
2026-03-20,298.61029052734375,381.0447082519531,205.3699951171875
2026-03-23,298.84014892578125,382.1722717285156,210.13999938964844
2026-03-24,289.02606201171875,371.9344177246094,207.24000549316406
2026-03-25,289.4158020019531,370.2381286621094,211.7100067138672
2026-03-26,280.5711364746094,365.1790771484375,207.5399932861328
2026-03-27,273.5953369140625,355.9989318847656,199.33999633789062
2026-03-30,272.9757385253906,358.1842041015625,200.9499969482422
2026-03-31,286.68743896484375,369.3699951171875,208.27000427246094
2026-04-01,294.7226257324219,368.57171630859375,210.57000732421875
2026-04-02,294.2828674316406,372.6528625488281,209.77000427246094
2026-04-06,297.48095703125,372.0741271972656,212.7899932861328
2026-04-07,303.7471923828125,371.48541259765625,213.77000427246094
2026-04-08,314.5506896972656,373.52099609375,221.25
2026-04-09,316.1797180175781,372.26373291015625,233.64999389648438
2026-04-10,315.53009033203125,370.0684814453125,238.3800048828125
2026-04-13,319.01800537109375,383.539306640625,239.88999938964844
2026-04-14,330.38116455078125,392.2604064941406,249.02000427246094
2026-04-15,334.2688293457031,410.3312683105469,248.5
2026-04-16,332.56982421875,419.35174560546875,249.6999969482422
2026-04-17,339.19586181640625,421.87628173828125,250.55999755859375
2026-04-20,335.1982727050781,417.1664733886719,248.27999877929688
2026-04-21,330.271240234375,423.2433166503906,249.91000366210938
2026-04-22,337.5268859863281,431.984375,255.36000061035156
2026-04-23,337.5468444824219,414.8514709472656,255.0800018310547
2026-04-24,342.1141052246094,423.7023010253906,263.989990234375
2026-04-27,348.31036376953125,423.9018859863281,261.1199951171875
2026-04-28,347.2909851074219,428.3222961425781,259.70001220703125
2026-04-29,347.1011047363281,423.5426330566406,263.0400085449219
2026-04-30,381.71026611328125,406.8987121582031,265.05999755859375
2026-05-01,382.989501953125,413.5443115234375,268.260009765625
2026-05-04,379.41168212890625,412.72607421875,272.04998779296875
2026-05-05,384.0388488769531,410.4909362792969,273.54998779296875
2026-05-06,394.90234375,413.0653381347656,274.989990234375
2026-05-07,395.0622253417969,419.8606262207031,271.1700134277344
2026-05-08,396.8111877441406,414.22283935546875,272.67999267578125
2026-05-11,386.537353515625,411.7681579589844,268.989990234375
2026-05-12,383.5891418457031,406.8887023925781,265.82000732421875
2026-05-13,398.79998779296875,404.3342590332031,270.1300048828125
2026-05-14,396.9311218261719,408.5451354980469,267.2200012207031
2026-05-15,393.08343505859375,421.0081481933594,264.1400146484375
2026-05-18,392.87353515625,422.6246643066406,264.8599853515625
2026-05-19,384.6684875488281,416.51788330078125,259.3399963378906
2026-05-20,384.6684875488281,420.1499938964844,265.010009765625
2026-05-21,383.2393493652344,419.0899963378906,268.4599914550781
2026-05-22,379.1518249511719,418.57000732421875,266.32000732421875
2026-05-26,384.6085205078125,416.0299987792969,265.2900085449219
2026-05-27,384.5985107421875,412.6700134277344,271.8500061035156
2026-05-28,385.88775634765625,426.989990234375,274.0
2026-05-29,376.2035827636719,450.239990234375,270.6400146484375
2026-06-01,372.35589599609375,460.5199890136719,261.260009765625
2026-06-02,358.1744384765625,441.30999755859375,256.5199890136719
2026-06-03,355.466064453125,427.3399963378906,250.02000427246094
2026-06-04,369.0478820800781,428.04998779296875,253.7899932861328
2026-06-05,365.5400085449219,416.6700134277344,246.02999877929688
2026-06-08,361.1700134277344,411.739990234375,245.22000122070312
2026-06-09,362.2900085449219,403.4100036621094,244.19000244140625
2026-06-10,353.32000732421875,397.3599853515625,238.0
2026-06-11,356.55999755859375,390.3399963378906,241.50999450683594
2026-06-12,358.1600036621094,390.739990234375,238.5500030517578
2026-06-15,367.1099853515625,399.760009765625,246.02000427246094
2026-06-16,371.1000061035156,393.8299865722656,246.0
2026-06-17,362.1000061035156,378.9100036621094,237.5
2026-06-18,367.4599914550781,379.3999938964844,244.38999938964844
2026-06-22,348.7799987792969,367.3399963378906,232.7899932861328
2026-06-23,346.0799865722656,373.94000244140625,234.11000061035156
2026-06-24,345.0400085449219,365.4599914550781,234.27000427246094
2026-06-25,342.19000244140625,352.8299865722656,227.00999450683594
2026-06-26,334.69000244140625,372.9700012207031,232.69000244140625
2026-06-29,351.2799987792969,368.57000732421875,240.13999938964844
